"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","year","val","upper","lower"
"1","China","CHN","Female",4,0,294,"All causes",2019,42183.82571,47292.15375,37434.35034
"2","China","CHN","Female",5,1,294,"All causes",2019,12631.69368,14149.5922,11265.95125
"3","China","CHN","Female",6,5,294,"All causes",2019,6246.678948,6740.772432,5781.113344
"4","China","CHN","Female",7,10,294,"All causes",2019,4881.037705,5488.250033,4297.60776
"5","China","CHN","Female",8,15,294,"All causes",2019,7668.590694,8769.214508,6628.194076
"6","China","CHN","Female",9,20,294,"All causes",2019,11883.57223,14773.238,9361.100576
"7","China","CHN","Female",10,25,294,"All causes",2019,17453.33291,22249.77738,13322.38381
"8","China","CHN","Female",11,30,294,"All causes",2019,28804.24658,36369.10175,22310.49942
"9","China","CHN","Female",12,35,294,"All causes",2019,33703.77214,42511.33602,26166.39587
"10","China","CHN","Female",13,40,294,"All causes",2019,53561.34881,67309.32493,41862.49613
"11","China","CHN","Female",14,45,294,"All causes",2019,89555.41046,112925.6299,69890.42333
"12","China","CHN","Female",15,50,294,"All causes",2019,158327.9212,199753.5533,123720.3399
"13","China","CHN","Female",16,55,294,"All causes",2019,193623.7568,243848.7032,152293.2996
"14","China","CHN","Female",17,60,294,"All causes",2019,268382.7856,332821.9636,215310.8097
"15","China","CHN","Female",18,65,294,"All causes",2019,419991.5895,511232.3329,344299.1007
"16","China","CHN","Female",19,70,294,"All causes",2019,537872.0584,647299.2121,445228.9499
"17","China","CHN","Female",20,75,294,"All causes",2019,600101.652,713413.6909,501382.0402
"18","China","CHN","Female",30,80,294,"All causes",2019,781373.8564,905101.6043,669197.4955
"19","China","CHN","Female",31,85,294,"All causes",2019,668584.0773,771743.0876,573972.3426
"20","China","CHN","Female",32,90,294,"All causes",2019,361098.8656,406545.1082,318888.0242
"21","China","CHN","Female",235,95,294,"All causes",2019,128965.961,140685.1279,117838.5969
