"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","year","val","upper","lower"
"1","China","CHN","Male",4,0,294,"All causes",2019,59757.3306,69160.50904,51235.57486
"2","China","CHN","Male",5,1,294,"All causes",2019,16130.62421,18679.25354,13878.41147
"3","China","CHN","Male",6,5,294,"All causes",2019,12498.49458,13882.67831,11209.6832
"4","China","CHN","Male",7,10,294,"All causes",2019,10116.72576,11448.25403,8834.915254
"5","China","CHN","Male",8,15,294,"All causes",2019,19289.35348,23166.45776,15795.49838
"6","China","CHN","Male",9,20,294,"All causes",2019,33749.7634,40487.7455,27780.74346
"7","China","CHN","Male",10,25,294,"All causes",2019,49219.58797,57002.86768,42078.92291
"8","China","CHN","Male",11,30,294,"All causes",2019,79779.20022,92886.98985,67912.80497
"9","China","CHN","Male",12,35,294,"All causes",2019,90882.68585,108973.9609,74991.12804
"10","China","CHN","Male",13,40,294,"All causes",2019,135985.9097,168061.081,108488.2003
"11","China","CHN","Male",14,45,294,"All causes",2019,211040.6153,267890.9499,163275.2932
"12","China","CHN","Male",15,50,294,"All causes",2019,334127.1167,426426.2255,257551.6351
"13","China","CHN","Male",16,55,294,"All causes",2019,391344.4108,498837.6427,302042.1746
"14","China","CHN","Male",17,60,294,"All causes",2019,514635.4951,644277.1072,405515.7683
"15","China","CHN","Male",18,65,294,"All causes",2019,718419.7255,886279.4638,573453.5322
"16","China","CHN","Male",19,70,294,"All causes",2019,873972.935,1062963.885,707243.6332
"17","China","CHN","Male",20,75,294,"All causes",2019,884445.1001,1054729.31,730689.6987
"18","China","CHN","Male",30,80,294,"All causes",2019,950026.5164,1099356.666,809209.5537
"19","China","CHN","Male",31,85,294,"All causes",2019,693472.9038,759364.6835,628109.2091
"20","China","CHN","Male",32,90,294,"All causes",2019,133778.9272,147642.7666,120310.0571
"21","China","CHN","Male",235,95,294,"All causes",2019,13878.57604,14469.43684,13112.8082
