"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","year","val","upper","lower"
"1","China","CHN","Female",4,0,294,"All causes",2019,162381.1403,217065.4953,115432.5367
"2","China","CHN","Female",5,1,294,"All causes",2019,693284.189,930078.3052,498693.1559
"3","China","CHN","Female",6,5,294,"All causes",2019,892200.5921,1191262.154,643350.7765
"4","China","CHN","Female",7,10,294,"All causes",2019,1394303.215,1860002.306,1003040.115
"5","China","CHN","Female",8,15,294,"All causes",2019,2005117.035,2694946.247,1439462.4
"6","China","CHN","Female",9,20,294,"All causes",2019,2658955.921,3489043.711,1929380.934
"7","China","CHN","Female",10,25,294,"All causes",2019,4334098.545,5730433.75,3153771.679
"8","China","CHN","Female",11,30,294,"All causes",2019,5735007.822,7551588.287,4153627.98
"9","China","CHN","Female",12,35,294,"All causes",2019,4948456.107,6494915.841,3663493.02
"10","China","CHN","Female",13,40,294,"All causes",2019,5599171.818,7324853.612,4111401.987
"11","China","CHN","Female",14,45,294,"All causes",2019,7511421.612,9830096.161,5514982.734
"12","China","CHN","Female",15,50,294,"All causes",2019,8917090.273,11712842.04,6697517.133
"13","China","CHN","Female",16,55,294,"All causes",2019,7611320.535,9997687.523,5636300.279
"14","China","CHN","Female",17,60,294,"All causes",2019,7187163.698,9334395.435,5361711.005
"15","China","CHN","Female",18,65,294,"All causes",2019,7679472.01,9814103.852,5820926.142
"16","China","CHN","Female",19,70,294,"All causes",2019,6094318.973,7641121.045,4648320.877
"17","China","CHN","Female",20,75,294,"All causes",2019,4464749.082,5594269.255,3397523.48
"18","China","CHN","Female",30,80,294,"All causes",2019,3491340.972,4363954.565,2695193.254
"19","China","CHN","Female",31,85,294,"All causes",2019,1997583.747,2485541.45,1544313.568
"20","China","CHN","Female",32,90,294,"All causes",2019,730404.475,897959.7169,570018.6891
"21","China","CHN","Female",235,95,294,"All causes",2019,176346.6178,214422.378,138039.0705
