"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","China","CHN","Female",4,0,294,"All causes","Ambient particulate matter pollution",2019,602.5759222,830.2990319,412.8008747
"2","China","CHN","Female",5,1,294,"All causes","Ambient particulate matter pollution",2019,345.5733465,598.7870189,190.6810058
"3","China","CHN","Female",6,5,294,"All causes","Ambient particulate matter pollution",2019,318.5351168,555.1365518,168.5176332
"4","China","CHN","Female",7,10,294,"All causes","Ambient particulate matter pollution",2019,257.6245925,451.7560163,133.2531984
"5","China","CHN","Female",8,15,294,"All causes","Ambient particulate matter pollution",2019,235.7767676,404.8397094,128.0008899
"6","China","CHN","Female",9,20,294,"All causes","Ambient particulate matter pollution",2019,237.876327,414.1267773,128.2386952
"7","China","CHN","Female",10,25,294,"All causes","Ambient particulate matter pollution",2019,38400.44788,52123.89131,26971.44863
"8","China","CHN","Female",11,30,294,"All causes","Ambient particulate matter pollution",2019,59535.08302,79896.04644,41956.27076
"9","China","CHN","Female",12,35,294,"All causes","Ambient particulate matter pollution",2019,59575.04758,80124.17613,41468.78277
"10","China","CHN","Female",13,40,294,"All causes","Ambient particulate matter pollution",2019,79829.24662,106769.8083,55269.20287
"11","China","CHN","Female",14,45,294,"All causes","Ambient particulate matter pollution",2019,138131.1614,181016.813,96014.90458
"12","China","CHN","Female",15,50,294,"All causes","Ambient particulate matter pollution",2019,216512.9388,287781.6857,152259.3971
"13","China","CHN","Female",16,55,294,"All causes","Ambient particulate matter pollution",2019,245072.2227,323049.2559,172728.2982
"14","China","CHN","Female",17,60,294,"All causes","Ambient particulate matter pollution",2019,290771.8369,384446.1845,206434.9199
"15","China","CHN","Female",18,65,294,"All causes","Ambient particulate matter pollution",2019,376370.0483,487256.5509,268076.8493
"16","China","CHN","Female",19,70,294,"All causes","Ambient particulate matter pollution",2019,340111.333,442243.3198,244987.4074
"17","China","CHN","Female",20,75,294,"All causes","Ambient particulate matter pollution",2019,263232.6884,333450.4605,194148.595
"18","China","CHN","Female",30,80,294,"All causes","Ambient particulate matter pollution",2019,200199.8224,252219.9252,150840.9051
"19","China","CHN","Female",31,85,294,"All causes","Ambient particulate matter pollution",2019,107021.5697,133954.593,80493.35076
"20","China","CHN","Female",32,90,294,"All causes","Ambient particulate matter pollution",2019,34941.91405,43380.01877,26720.8217
"21","China","CHN","Female",235,95,294,"All causes","Ambient particulate matter pollution",2019,7265.501847,9129.093567,5545.177365
