"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","year","val","upper","lower"
"1","China","CHN","Male",4,0,294,"All causes",2019,185092.5256,249301.5118,132451.8281
"2","China","CHN","Male",5,1,294,"All causes",2019,876797.6969,1183392.369,630624.4197
"3","China","CHN","Male",6,5,294,"All causes",2019,1139183.547,1526325.401,808922.5374
"4","China","CHN","Male",7,10,294,"All causes",2019,1496667.09,1991227.169,1069106.009
"5","China","CHN","Male",8,15,294,"All causes",2019,1877509.13,2476543.222,1353658.166
"6","China","CHN","Male",9,20,294,"All causes",2019,2330603.869,3017684.453,1704660.844
"7","China","CHN","Male",10,25,294,"All causes",2019,3580797.263,4649660.23,2653196.656
"8","China","CHN","Male",11,30,294,"All causes",2019,4638775.227,6080462.084,3402424.954
"9","China","CHN","Male",12,35,294,"All causes",2019,4085265.798,5313739.374,3040532.977
"10","China","CHN","Male",13,40,294,"All causes",2019,4706913.566,6141499.483,3478319.7
"11","China","CHN","Male",14,45,294,"All causes",2019,6332848.42,8255611.102,4635356.679
"12","China","CHN","Male",15,50,294,"All causes",2019,7312544.196,9680988.652,5402744.973
"13","China","CHN","Male",16,55,294,"All causes",2019,6401211.588,8410417.69,4746711.498
"14","China","CHN","Male",17,60,294,"All causes",2019,6167245.865,8087374.806,4618080.317
"15","China","CHN","Male",18,65,294,"All causes",2019,6359011.743,8189415.278,4808225.031
"16","China","CHN","Male",19,70,294,"All causes",2019,5042216.801,6401411.892,3827652.138
"17","China","CHN","Male",20,75,294,"All causes",2019,3511359.427,4440010.071,2653981.494
"18","China","CHN","Male",30,80,294,"All causes",2019,2385664.909,3018842.882,1792627.363
"19","China","CHN","Male",31,85,294,"All causes",2019,938641.9846,1186609.548,713605.2246
"20","China","CHN","Male",32,90,294,"All causes",2019,131783.6772,164255.3359,100150.675
"21","China","CHN","Male",235,95,294,"All causes",2019,13551.76559,16830.36729,10332.24901
