"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","China","CHN","Male",4,0,294,"All causes","Household air pollution from solid fuels",2019,226.5045246,388.3437049,115.140341
"2","China","CHN","Male",5,1,294,"All causes","Household air pollution from solid fuels",2019,122.98896,267.7540049,42.06231789
"3","China","CHN","Male",6,5,294,"All causes","Household air pollution from solid fuels",2019,111.4491059,247.2520172,38.66690933
"4","China","CHN","Male",7,10,294,"All causes","Household air pollution from solid fuels",2019,90.18615506,207.699036,32.28456101
"5","China","CHN","Male",8,15,294,"All causes","Household air pollution from solid fuels",2019,80.19708612,174.0379208,29.11109982
"6","China","CHN","Male",9,20,294,"All causes","Household air pollution from solid fuels",2019,144.675901,273.9218824,69.26912698
"7","China","CHN","Male",10,25,294,"All causes","Household air pollution from solid fuels",2019,7059.034227,13425.90724,3324.613381
"8","China","CHN","Male",11,30,294,"All causes","Household air pollution from solid fuels",2019,11931.80752,22438.4243,5528.120377
"9","China","CHN","Male",12,35,294,"All causes","Household air pollution from solid fuels",2019,14058.91148,26106.0455,6727.919821
"10","China","CHN","Male",13,40,294,"All causes","Household air pollution from solid fuels",2019,21598.26989,38596.16818,10589.33881
"11","China","CHN","Male",14,45,294,"All causes","Household air pollution from solid fuels",2019,38211.94978,68653.93338,19157.22889
"12","China","CHN","Male",15,50,294,"All causes","Household air pollution from solid fuels",2019,55656.59006,96562.36563,28404.10974
"13","China","CHN","Male",16,55,294,"All causes","Household air pollution from solid fuels",2019,58244.92326,101767.3426,29490.45024
"14","China","CHN","Male",17,60,294,"All causes","Household air pollution from solid fuels",2019,65617.61053,113573.5853,34410.46249
"15","China","CHN","Male",18,65,294,"All causes","Household air pollution from solid fuels",2019,84000.9038,142558.6323,46055.39775
"16","China","CHN","Male",19,70,294,"All causes","Household air pollution from solid fuels",2019,78009.95117,130782.1492,43733.56799
"17","China","CHN","Male",20,75,294,"All causes","Household air pollution from solid fuels",2019,60863.92427,97652.19938,34704.25837
"18","China","CHN","Male",30,80,294,"All causes","Household air pollution from solid fuels",2019,41109.14203,65602.47049,23728.61133
"19","China","CHN","Male",31,85,294,"All causes","Household air pollution from solid fuels",2019,15701.79784,24621.19027,9173.372937
"20","China","CHN","Male",32,90,294,"All causes","Household air pollution from solid fuels",2019,1989.352874,3125.383989,1137.869014
"21","China","CHN","Male",235,95,294,"All causes","Household air pollution from solid fuels",2019,168.2244605,267.6629663,91.6643685
