"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","China","CHN","Male",4,0,294,"All causes","Particulate matter pollution",2019,925.4236988,1244.513056,671.5381337
"2","China","CHN","Male",5,1,294,"All causes","Particulate matter pollution",2019,560.2378263,961.8682666,298.5507839
"3","China","CHN","Male",6,5,294,"All causes","Particulate matter pollution",2019,500.1225264,866.608368,264.0860757
"4","China","CHN","Male",7,10,294,"All causes","Particulate matter pollution",2019,393.2474477,708.6990894,205.3502976
"5","China","CHN","Male",8,15,294,"All causes","Particulate matter pollution",2019,349.5657507,599.8041507,193.614415
"6","China","CHN","Male",9,20,294,"All causes","Particulate matter pollution",2019,402.6027271,657.8671941,228.7774725
"7","China","CHN","Male",10,25,294,"All causes","Particulate matter pollution",2019,41136.12894,56167.66567,28786.92842
"8","China","CHN","Male",11,30,294,"All causes","Particulate matter pollution",2019,70558.6082,94864.06731,48753.62822
"9","China","CHN","Male",12,35,294,"All causes","Particulate matter pollution",2019,80361.89931,109009.1753,55206.96635
"10","China","CHN","Male",13,40,294,"All causes","Particulate matter pollution",2019,116405.4854,159021.7301,80309.84303
"11","China","CHN","Male",14,45,294,"All causes","Particulate matter pollution",2019,198203.0321,267799.0984,139304.2459
"12","China","CHN","Male",15,50,294,"All causes","Particulate matter pollution",2019,286081.0718,382791.5067,199879.7923
"13","China","CHN","Male",16,55,294,"All causes","Particulate matter pollution",2019,304474.0951,401520.6198,216763.5685
"14","China","CHN","Male",17,60,294,"All causes","Particulate matter pollution",2019,341698.5141,447604.119,243840.8368
"15","China","CHN","Male",18,65,294,"All causes","Particulate matter pollution",2019,404855.6079,522321.8548,294511.82
"16","China","CHN","Male",19,70,294,"All causes","Particulate matter pollution",2019,350550.7389,450869.8536,257847.8117
"17","China","CHN","Male",20,75,294,"All causes","Particulate matter pollution",2019,254667.4582,323731.7536,189805.9889
"18","China","CHN","Male",30,80,294,"All causes","Particulate matter pollution",2019,165376.1635,207920.8816,123792.6539
"19","China","CHN","Male",31,85,294,"All causes","Particulate matter pollution",2019,58912.8663,74307.47731,44442.95979
"20","China","CHN","Male",32,90,294,"All causes","Particulate matter pollution",2019,7157.802034,8995.019012,5485.072771
"21","China","CHN","Male",235,95,294,"All causes","Particulate matter pollution",2019,580.8224753,742.3515875,442.186884
