"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","China","CHN","Male",4,0,294,"All causes","Ambient particulate matter pollution",2019,698.9191741,963.2007124,484.9053604
"2","China","CHN","Male",5,1,294,"All causes","Ambient particulate matter pollution",2019,437.2488663,770.3059264,233.8754718
"3","China","CHN","Male",6,5,294,"All causes","Ambient particulate matter pollution",2019,388.6734205,680.7162146,209.4654891
"4","China","CHN","Male",7,10,294,"All causes","Ambient particulate matter pollution",2019,303.0612926,544.4295237,157.6232116
"5","China","CHN","Male",8,15,294,"All causes","Ambient particulate matter pollution",2019,269.3686645,466.78382,144.5709097
"6","China","CHN","Male",9,20,294,"All causes","Ambient particulate matter pollution",2019,257.9268261,445.8874684,136.7860175
"7","China","CHN","Male",10,25,294,"All causes","Ambient particulate matter pollution",2019,34077.09471,47272.49267,23208.19286
"8","China","CHN","Male",11,30,294,"All causes","Ambient particulate matter pollution",2019,58626.80069,80605.55754,39915.6691
"9","China","CHN","Male",12,35,294,"All causes","Ambient particulate matter pollution",2019,66302.98783,91445.48822,44791.69605
"10","China","CHN","Male",13,40,294,"All causes","Ambient particulate matter pollution",2019,94807.21552,130627.8217,64137.05998
"11","China","CHN","Male",14,45,294,"All causes","Ambient particulate matter pollution",2019,159991.0823,217728.2921,109897.1351
"12","China","CHN","Male",15,50,294,"All causes","Ambient particulate matter pollution",2019,230424.4818,311115.0096,158195.6564
"13","China","CHN","Male",16,55,294,"All causes","Ambient particulate matter pollution",2019,246229.1719,326839.8863,171108.6597
"14","China","CHN","Male",17,60,294,"All causes","Ambient particulate matter pollution",2019,276080.9036,364317.4134,193859.4958
"15","China","CHN","Male",18,65,294,"All causes","Ambient particulate matter pollution",2019,320854.7041,422566.8825,227291.5594
"16","China","CHN","Male",19,70,294,"All causes","Ambient particulate matter pollution",2019,272540.7877,349796.9484,194708.074
"17","China","CHN","Male",20,75,294,"All causes","Ambient particulate matter pollution",2019,193803.5339,245675.0799,141797.2482
"18","China","CHN","Male",30,80,294,"All causes","Ambient particulate matter pollution",2019,124267.0214,158792.8434,92032.51526
"19","China","CHN","Male",31,85,294,"All causes","Ambient particulate matter pollution",2019,43211.06846,53947.37259,32431.94911
"20","China","CHN","Male",32,90,294,"All causes","Ambient particulate matter pollution",2019,5168.44916,6456.034626,3965.583096
"21","China","CHN","Male",235,95,294,"All causes","Ambient particulate matter pollution",2019,412.5980148,522.0655751,311.9822722
