"Year","Age","n","mx","ax","qx","lx","dx","Lx","Tx","ex"
2019,0,1,0.0178900355416771,0.102300342,0.017607265,100000,1760.7265,98419.3964231185,6115688.15919705,61.1568815919705
2019,1,4,0.00144120892870514,1.513280230018,0.005744249,98239.2735,564.310848563109,391553.811056463,6017268.76277393,61.2511529085558
2019,5,5,0.000426825965534377,2.5,0.002131855,97674.9626514369,208.228857503287,487854.241113426,5625714.95171747,57.5962846465927
2019,10,5,0.000618992800204661,2.5,0.003090182,97466.7337939336,301.189946368802,486580.694103746,5137860.71060405,52.7139928733698
2019,15,5,0.00131960427394824,2.5,0.006576326,97165.5438475648,638.992292308889,484230.238507052,4651280.0165003,47.8696442413508
2019,20,5,0.0026406293829084,2.5,0.013116557,96526.5515552559,1266.09601548796,479467.51773756,4167049.77799325,43.1699849508024
2019,25,5,0.00382128367757572,2.5,0.018925618,95260.455539768,1802.86299205164,471795.120218711,3687582.26025569,38.7105251529713
2019,30,5,0.00487657149450384,2.5,0.024089176,93457.5925477163,2251.31639541822,461659.671750036,3215787.14003698,34.4090517674645
2019,35,5,0.00699233610385175,2.5,0.034361021,91206.2761522981,3133.94077020092,448196.528835988,2754127.46828694,30.196688040284
2019,40,5,0.010272767305652,2.5,0.050077744,88072.3353820972,4410.46386474681,429335.517248619,2305930.93945095,26.1822390589144
2019,45,5,0.0154439847268251,2.5,0.0743493,83661.8715173504,6220.20158400493,402758.853626739,1876595.42220233,22.4307129181679
2019,50,5,0.0219098811769348,2.5,0.103860479,77441.6699333454,8043.12893383716,367100.527332134,1473836.56857559,19.0315700816387
2019,55,5,0.0315566716793071,2.5,0.146245783,69398.5409995083,10149.2439675307,321619.595078715,1106736.04124346,15.9475404713667
2019,60,5,0.0418584296902848,2.5,0.189465344,59249.2970319776,11225.6884439218,268182.264050083,785116.446164746,13.2510677002802
2019,65,5,0.0558994323418367,2.5,0.245227032,48023.6085880558,11776.6869999786,210676.325440332,516934.182114663,10.7641678189763
2019,70,5,0.0830244040768378,2.5,0.343768983,36246.9215880771,12460.567371214,150083.189512351,306257.85667433,8.44921011926897
2019,75,5,0.121731830612533,2.5,0.466645213,23786.3542168631,11099.7883300215,91182.3002592618,156174.66716198,6.56572527837246
2019,80,5,0.171627215560725,2.5,0.600486509,12686.5658868416,7618.11166058799,44387.5502827379,64992.3669027179,5.12292825989479
2019,85,5,0.232076599239284,2.5,0.734330616,5068.45422625359,3721.9211141326,16037.4683459364,20604.81661998,4.06530585069726
2019,90,5,0.278894502008433,2.5,0.821613671,1346.53311212099,1106.33001337278,3966.84052717299,4567.34827404351,3.391931645
2019,95,5,0.4,2.5,1,240.203098748208,240.203098748208,600.507746870521,600.507746870521,2.5
