"Year","Age","n","mx","ax","qx","lx","dx","Lx","Tx","ex"
2019,0,1,0.0204320003822991,0.098848021084,0.020062601,100000,2006.2601,98192.0547406648,5744073.58869503,57.4407358869503
2019,1,4,0.0014821035235813,1.634363913984,0.005907701,97993.7399,578.91771520098,390605.450962087,5645881.53395436,57.6147164065361
2019,5,5,0.000634392340922885,2.5,0.003166939,97414.822184799,308.506799555107,486302.843925107,5255276.08299227,53.9473969682237
2019,10,5,0.000712265250057447,2.5,0.003554996,97106.3153852439,345.212562769273,484668.545519296,4768973.23906717,49.1108453672402
2019,15,5,0.00221186925295549,2.5,0.010998528,96761.1028224746,1064.22969870387,481144.939865614,4284304.69354787,44.2771379053852
2019,20,5,0.00432123168215079,2.5,0.02137524,95696.8731237708,2045.54363027016,473370.506543178,3803159.75368226,39.7417348084445
2019,25,5,0.00526590295533184,2.5,0.025987397,93651.3294935006,2433.75427912541,462172.26176969,3329789.24713908,35.5551732703396
2019,30,5,0.00698719171880777,2.5,0.034336175,91217.5752143752,3132.06262563645,448257.719507785,2867616.98536939,31.4371104321733
2019,35,5,0.00981792903093378,2.5,0.047913614,88085.5125887388,4220.49524916898,429876.324820771,2419359.2658616,27.4660292567896
2019,40,5,0.0144392585544899,2.5,0.06968094,83865.0173395698,5843.79324133752,404715.603594505,1989482.94104083,23.7224411817076
2019,45,5,0.0207338455300888,2.5,0.098560388,78021.2240982323,7689.80211935673,370881.615192769,1584767.33744633,20.3120029935833
2019,50,5,0.0287915322419729,2.5,0.134291515,70331.4219788755,9444.91320964749,328044.826870259,1213885.72225356,17.2595077434686
2019,55,5,0.0392506951750339,2.5,0.178716599,60886.508769228,10881.4297722201,277228.96941559,885840.8953833,14.5490505744189
2019,60,5,0.0529194838919072,2.5,0.23368164,50005.0789970079,11685.2688683504,220812.222814164,608611.92596771,12.1710021896801
2019,65,5,0.068750730775065,2.5,0.293335994,38319.8101286576,11240.579593981,163497.601658335,387799.703153546,10.120084151031
2019,70,5,0.0903932937603885,2.5,0.368656321,27079.2305346765,9982.92950442471,110438.828912321,224302.101495211,8.28317854925675
2019,75,5,0.119758675423291,2.5,0.460824152,17096.3010302518,7878.38842460252,65785.5340897528,113863.27258289,6.66011158679353
2019,80,5,0.168340633463931,2.5,0.592393447,9217.91260564929,5460.63102260534,32437.9854717331,48077.7384931374,5.2156860831673
2019,85,5,0.22351529123397,2.5,0.716952076,3757.28158304396,2693.79083107993,12051.93083752,15639.7530214043,4.16251821316351
2019,90,5,0.281010100843116,2.5,0.825274399,1063.49075196403,877.671691169169,3123.27453189721,3587.82218388435,3.373628005
2019,95,5,0.4,2.5,1,185.819060794856,185.819060794856,464.547651987141,464.547651987141,2.5
