"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","Solomon Islands","SLB","Male",4,0,294,"All causes","Ambient particulate matter pollution",2019,0.199980139970671,0.519899429767103,0.0538282633525394
"2","Solomon Islands","SLB","Male",5,1,294,"All causes","Ambient particulate matter pollution",2019,0.154699725873356,0.418390320047061,0.036721580958813
"3","Solomon Islands","SLB","Male",6,5,294,"All causes","Ambient particulate matter pollution",2019,0.122833086222223,0.33954334260877,0.0276703943717101
"4","Solomon Islands","SLB","Male",7,10,294,"All causes","Ambient particulate matter pollution",2019,0.0853548738038295,0.24655717022124,0.0184393633753904
"5","Solomon Islands","SLB","Male",8,15,294,"All causes","Ambient particulate matter pollution",2019,0.0954585284921047,0.261570678605224,0.0228575046485467
"6","Solomon Islands","SLB","Male",9,20,294,"All causes","Ambient particulate matter pollution",2019,0.09664158465296,0.259560401143291,0.0226984455987849
"7","Solomon Islands","SLB","Male",10,25,294,"All causes","Ambient particulate matter pollution",2019,3.64884609527479,9.33578295833192,0.944542743702871
"8","Solomon Islands","SLB","Male",11,30,294,"All causes","Ambient particulate matter pollution",2019,4.9094740111582,12.1818515515937,1.24636403365257
"9","Solomon Islands","SLB","Male",12,35,294,"All causes","Ambient particulate matter pollution",2019,6.74307045140686,17.432857471444,1.73993922355651
"10","Solomon Islands","SLB","Male",13,40,294,"All causes","Ambient particulate matter pollution",2019,9.12037328223523,23.4009482174724,2.36577531911507
"11","Solomon Islands","SLB","Male",14,45,294,"All causes","Ambient particulate matter pollution",2019,10.6280198804969,27.2293112620248,2.69480082480226
"12","Solomon Islands","SLB","Male",15,50,294,"All causes","Ambient particulate matter pollution",2019,10.6590768166349,26.9965761186363,2.6197516430076
"13","Solomon Islands","SLB","Male",16,55,294,"All causes","Ambient particulate matter pollution",2019,10.3683955853577,25.2725372903155,2.64454987850267
"14","Solomon Islands","SLB","Male",17,60,294,"All causes","Ambient particulate matter pollution",2019,9.200009281235,23.3090303305426,2.32828679251681
"15","Solomon Islands","SLB","Male",18,65,294,"All causes","Ambient particulate matter pollution",2019,7.65423782384386,18.5595991992936,1.91560559385874
"16","Solomon Islands","SLB","Male",19,70,294,"All causes","Ambient particulate matter pollution",2019,5.45321663197627,13.4166882193794,1.4406687984792
"17","Solomon Islands","SLB","Male",20,75,294,"All causes","Ambient particulate matter pollution",2019,3.27872456221566,7.95258329748648,0.876920399746496
"18","Solomon Islands","SLB","Male",30,80,294,"All causes","Ambient particulate matter pollution",2019,1.67005867594971,4.04063567443321,0.448190020737873
"19","Solomon Islands","SLB","Male",31,85,294,"All causes","Ambient particulate matter pollution",2019,0.509840868444506,1.26618215934513,0.139433881504948
"20","Solomon Islands","SLB","Male",32,90,294,"All causes","Ambient particulate matter pollution",2019,0.0941925019015535,0.240368601077589,0.0260242992316389
"21","Solomon Islands","SLB","Male",235,95,294,"All causes","Ambient particulate matter pollution",2019,0.0111682374803643,0.0271036989206344,0.00312548575882252
